"Date","Price","Open","High","Low","Change %"
"Jul 13, 2015","107.74","109.05","109.10","107.60","-0.66%"
"Jul 14, 2015","108.08","107.69","108.51","107.43","0.32%"
"Jul 15, 2015","107.81","108.01","108.18","107.60","-0.25%"
"Jul 16, 2015","107.49","107.80","107.85","107.41","-0.30%"
"Jul 17, 2015","107.56","107.46","107.69","107.37","0.07%"
"Jul 20, 2015","107.39","107.50","107.64","107.24","-0.16%"
"Jul 21, 2015","107.71","107.36","107.84","107.15","0.30%"
"Jul 22, 2015","107.92","107.68","108.21","107.63","0.19%"
"Jul 23, 2015","108.32","107.87","108.50","107.71","0.38%"
"Jul 24, 2015","108.58","108.27","108.81","108.14","0.24%"
"Jul 27, 2015","109.21","108.60","109.43","108.50","0.57%"
"Jul 28, 2015","108.96","109.16","109.36","108.69","-0.23%"
"Jul 29, 2015","108.57","108.93","109.06","108.46","-0.35%"
"Jul 30, 2015","108.49","108.56","108.63","108.06","-0.08%"
"Jul 31, 2015","109.14","108.42","109.53","108.38","0.61%"
"Aug 03, 2015","108.84","109.03","109.22","108.57","-0.28%"
