Date,Price,Open,High,Low
2017-04-21,122.11,121.89,122.34,121.7
2017-04-24,121.35,120.59,121.48,120.4
2017-04-25,119.52,121.33,121.53,119.39
2017-04-26,119.62,119.53,119.84,118.84
2017-04-27,119.67,119.61,119.91,119.25
2017-04-28,119.5,119.66,120.06,119.31
2017-05-01,119.18,119.75,119.86,119.07
2017-05-02,118.87,119.19,119.25,118.52
2017-05-03,118.0,118.89,118.92,117.97
2017-05-04,118.5,117.98,118.66,117.83
2017-05-05,118.25,118.51,119.07,118.15
2017-05-08,117.52,117.97,118.43,117.47
2017-05-09,117.12,117.54,117.8,116.75
2017-05-10,116.88,117.11,117.51,116.79
2017-05-11,117.31,116.87,117.74,116.78
2017-05-12,117.6,117.3,117.76,116.99
2017-05-15,116.92,117.72,117.83,116.84
2017-05-16,117.58,116.95,117.78,116.9
2017-05-17,120.22,117.55,120.26,117.51
2017-05-18,119.79,120.22,121.16,119.51
2017-05-19,119.84,119.8,120.77,119.23
2017-05-22,119.53,119.78,120.25,119.09
2017-05-23,119.0,119.52,120.0,118.91
2017-05-24,119.36,118.97,119.39,118.67
2017-05-25,119.0,119.35,119.38,118.86
2017-05-26,119.4,119.01,119.94,118.89
2017-05-29,119.73,119.42,119.75,119.31
2017-05-30,120.2,119.72,120.4,119.63
2017-05-31,120.27,120.19,120.58,119.78
2017-06-01,119.64,120.26,120.34,119.49
2017-06-02,120.5,119.61,120.58,119.09
2017-06-05,120.28,120.53,120.67,119.97
2017-06-06,121.55,120.27,121.75,120.19
2017-06-07,121.15,121.54,121.95,121.08
2017-06-08,120.89,121.16,121.64,120.47
2017-06-09,120.45,120.88,121.16,119.93
2017-06-12,120.97,120.39,121.31,120.33
2017-06-13,120.77,120.95,121.09,120.53
2017-06-14,121.22,120.76,122.05,120.35
2017-06-15,119.78,121.24,121.56,119.72
2017-06-16,119.94,119.77,120.19,119.34
2017-06-19,119.16,119.97,120.06,119.06
2017-06-20,119.22,119.19,119.38,118.89
2017-06-21,119.58,119.23,119.94,119.17
2017-06-22,119.71,119.58,120.08,119.5
2017-06-23,119.75,119.72,119.92,119.61
2017-06-26,119.16,119.92,119.92,119.06
2017-06-27,118.62,119.14,119.58,118.49
2017-06-28,118.67,118.62,119.19,118.55
2017-06-29,118.8,118.67,119.19,118.01
2017-06-30,118.59,118.81,119.31,118.38
2017-07-03,117.91,118.86,119.08,117.8
2017-07-04,117.97,117.89,118.7,117.78
2017-07-05,117.98,117.94,118.36,117.53
2017-07-06,118.25,117.98,118.47,117.94
